Time [s],PLETH,HR,PULSE,SpO2
150,0.49365,91,90,97
151,0.40469,91,90,97
152,0.48387,92,90,97
153,0.39198,92,90,97
154,0.43793,92,90,97
155,0.43402,92,91,97
156,0.42522,92,91,97
157,0.51711,92,91,97
158,0.4262,92,91,97
159,0.55034,92,91,97
160,0.4262,92,91,97
161,0.62561,92,92,97
162,0.42717,92,92,97
163,0.6002,92,92,97
164,0.41349,92,92,97
165,0.55621,91,92,97
166,0.3998,91,92,97
167,0.55034,91,92,97
168,0.42033,91,92,97
169,0.53568,91,92,97
170,0.41251,91,91,97
171,0.47507,91,91,97
172,0.39785,91,91,97
173,0.46823,91,91,97
174,0.38612,91,91,97
175,0.4956,91,91,97
176,0.40371,91,91,97
177,0.42815,91,91,97
178,0.42522,91,91,97
179,0.42717,91,91,97
180,0.46725,91,91,97
181,0.45259,91,91,97
182,0.53177,91,91,97
183,0.39687,91,91,97
184,0.5914,91,91,97
185,0.39394,91,91,97
186,0.56598,91,91,97
187,0.41838,91,91,97
188,0.56403,91,91,97
189,0.4174,91,91,97
190,0.54057,91,91,97
191,0.41349,91,91,97
192,0.52004,91,91,97
193,0.39296,91,91,97
194,0.47116,91,91,97
195,0.40274,91,91,97
196,0.47312,91,91,97
197,0.41447,91,91,97
198,0.39687,91,91,97
199,0.43402,93,91,97
200,0.44868,92,91,97
201,0.47898,92,91,97
202,0.4262,92,91,97
203,0.52981,92,91,97
204,0.43109,92,91,97
205,0.49951,91,91,97
206,0.43988,91,91,97
207,0.5259,89,91,97
208,0.4086,90,91,97
209,0.55327,90,91,97
210,0.41056,90,90,97
211,0.5738,90,90,97
212,0.43793,90,90,97
213,0.5914,91,90,97
214,0.4086,91,90,97
215,0.59629,91,90,97
216,0.40371,91,90,97
217,0.60215,91,90,97
218,0.40665,91,90,97
219,0.5523,91,90,97
220,0.40371,91,90,97
221,0.52884,91,90,97
222,0.40958,91,90,97
223,0.51026,91,90,97
224,0.40078,91,90,97
225,0.45455,91,90,97
226,0.41349,91,91,97
227,0.47605,91,91,97
228,0.40078,91,91,97
229,0.48974,91,91,97
230,0.39589,91,91,97
231,0.45064,91,91,97
232,0.40762,91,91,97
233,0.4565,91,91,97
234,0.38514,91,91,97
235,0.47801,91,91,97
236,0.40762,91,91,97
237,0.44086,91,91,97
238,0.43891,91,91,97
239,0.435,91,90,97
240,0.52199,91,90,97
241,0.43793,91,90,97
242,0.53959,91,90,97
243,0.42033,91,90,97
244,0.57869,91,90,97
245,0.41838,91,91,97
246,0.61877,91,91,97
247,0.40567,91,91,97
248,0.55718,91,91,97
249,0.40958,91,91,97
250,0.54839,91,91,97
251,0.40274,91,91,97
252,0.52395,91,91,97
253,0.39589,91,91,97
254,0.46334,91,91,97
255,0.40958,91,91,97
256,0.47214,91,91,97
257,0.38807,91,91,97
258,0.46823,91,91,97
259,0.40567,91,91,97
260,0.43304,91,91,97
261,0.44477,91,91,97
262,0.42131,91,91,97
263,0.48876,91,91,97
264,0.43988,91,91,97
265,0.54252,91,91,97
266,0.40078,91,91,97
267,0.60606,91,91,97
268,0.40567,91,91,97
269,0.56989,91,91,97
270,0.40762,91,91,97
271,0.565,91,91,97
272,0.40078,91,91,97
273,0.54545,91,91,97
274,0.40567,91,91,97
275,0.5044,91,91,97
276,0.42229,91,91,97
277,0.46432,91,91,97
278,0.40665,91,91,97
279,0.46334,91,91,97
280,0.39785,91,91,96
281,0.47312,91,91,96
282,0.43304,91,91,96
283,0.45943,91,91,96
284,0.49071,91,91,96
285,0.43597,91,91,96
286,0.49267,91,91,96
287,0.435,91,91,96
288,0.56794,91,91,96
289,0.40176,91,91,96
290,0.62854,91,91,96
291,0.41153,91,91,96
292,0.56305,91,91,97
293,0.41447,91,91,97
294,0.55621,91,91,97
295,0.40078,91,91,97
296,0.53666,91,91,97
297,0.4086,91,91,97
298,0.4956,91,91,97
299,0.41056,91,91,96
300,0.48778,91,91,96
301,0.41544,91,91,96
302,0.47019,91,91,96
303,0.39687,91,91,96
304,0.4741,91,91,96
305,0.54936,91,91,97
306,0.45357,92,91,97
307,0.48974,92,91,97
308,0.42326,91,91,97
309,0.49853,91,91,97
310,0.44379,91,91,97
311,0.57087,91,91,97
312,0.3998,91,91,97
313,0.59922,91,91,97
314,0.40469,91,91,97
315,0.57185,90,91,97
316,0.40078,91,91,97
317,0.57478,91,91,97
318,0.39785,91,91,97
319,0.56794,91,91,97
320,0.39296,91,91,97
321,0.47898,91,90,97
322,0.40958,91,91,97
323,0.46823,92,91,97
324,0.39101,92,91,96
325,0.48778,92,91,96
326,0.40176,92,91,96
327,0.42717,92,91,96
328,0.44282,92,91,96
329,0.42522,92,91,96
330,0.43109,91,91,96
331,0.45259,92,91,96
332,0.47996,91,91,96
333,0.42424,91,92,96
334,0.57478,91,92,97
335,0.41056,91,92,97
336,0.62952,91,92,97
337,0.3998,91,92,97
338,0.55523,91,91,97
339,0.41153,91,91,97
340,0.56598,92,91,97
341,0.40078,92,91,97
342,0.50733,92,91,97
343,0.40176,92,91,97
344,0.45357,91,91,97
345,0.4086,91,91,97
346,0.4741,91,91,97
347,0.41349,91,91,97
348,0.48192,91,91,97
349,0.41447,91,91,97
350,0.47703,91,91,97
351,0.44575,91,91,97
352,0.49658,91,91,97
353,0.39101,91,90,97
354,0.435,91,90,97
355,0.47116,91,91,97
356,0.42326,91,91,96
357,0.61095,91,91,96
358,0.40958,92,91,96
359,0.56403,92,91,96
360,0.41153,92,91,96
361,0.56794,92,91,96
362,0.38807,92,91,96
363,0.61388,92,91,96
364,0.41056,92,91,96
365,0.53763,91,91,96
366,0.41349,91,91,96
367,0.52297,91,91,96
368,0.40762,91,92,96
369,0.47996,91,92,97
370,0.40469,91,91,97
371,0.47312,91,91,97
372,0.40958,91,91,97
373,0.4741,91,91,97
374,0.39883,91,91,97
375,0.46628,91,91,97
376,0.39296,91,91,97
377,0.45943,91,91,97
378,0.4477,91,91,97
379,0.43695,91,91,97
380,0.55327,91,91,97
381,0.41642,91,91,97
382,0.53959,91,91,97
383,0.42522,91,91,97
384,0.58065,91,91,97
385,0.39589,91,91,97
386,0.61095,91,91,97
387,0.40567,91,91,97
388,0.57967,91,91,97
389,0.41153,91,91,97
390,0.57478,90,91,97
391,0.40567,90,91,97
392,0.58553,90,91,97
393,0.41447,90,91,97
394,0.59335,90,91,97
395,0.43304,90,91,97
396,0.50831,90,91,97
397,0.44282,89,90,97
398,0.50733,90,90,97
399,0.43988,90,90,97
400,0.55523,89,89,97
401,0.43988,90,89,97
402,0.51026,90,89,97
403,0.43695,90,89,97
404,0.53079,90,89,97
405,0.40469,90,89,97
406,0.5738,90,89,97
407,0.40469,90,89,97
408,0.60997,90,89,97
409,0.42033,90,89,97
410,0.57283,91,89,97
411,0.4086,90,89,97
412,0.59922,91,89,97
413,0.40958,91,89,97
414,0.61193,91,89,97
415,0.52199,91,90,97
416,0.50538,92,90,97
417,0.41251,92,90,97
418,0.47507,92,90,97
419,0.40567,92,90,97
420,0.5044,92,90,97
421,0.4086,92,90,97
422,0.46823,92,90,97
423,0.3998,92,90,97
424,0.47507,88,90,97
425,0.41642,91,90,97
426,0.45552,91,90,96
427,0.41153,91,90,96
428,0.46139,91,90,96
429,0.41447,91,90,96
430,0.43988,91,90,97
431,0.46921,91,90,97
432,0.43206,91,90,97
433,0.47996,91,90,97
434,0.44282,91,90,97
435,0.41935,91,90,97
436,0.44184,90,91,97
437,0.46725,90,91,97
438,0.43402,90,91,97
439,0.51222,90,91,97
440,0.435,90,91,97
441,0.44868,90,90,97
442,0.45064,90,90,97
443,0.4956,90,90,97
444,0.41153,90,90,97
445,0.57478,90,90,97
446,0.41642,90,89,97
447,0.54448,90,89,97
448,0.42522,90,89,97
449,0.57087,91,89,97
450,0.40958,91,89,97
451,0.58749,91,89,97
452,0.41153,91,89,97
453,0.60704,91,89,97
454,0.40567,91,90,97
455,0.56794,91,90,97
456,0.40469,91,90,97
457,0.565,91,90,97
458,0.42033,91,90,97
459,0.55914,91,90,97
460,0.40567,91,91,97
461,0.4653,91,91,97
462,0.40274,91,91,97
463,0.46823,91,91,97
464,0.40567,91,91,97
465,0.48094,91,90,97
466,0.39394,91,90,97
467,0.44184,91,90,97
468,0.40176,91,90,97
469,0.46823,91,90,97
470,0.40274,91,90,97
471,0.47507,91,90,97
472,0.39003,91,90,97
473,0.435,91,90,97
474,0.40762,90,90,97
475,0.45357,90,90,96
476,0.37048,90,90,96
477,0.4653,90,90,96
478,0.40567,90,90,96
479,0.4565,90,90,96
480,0.40274,90,90,96
